1747 4785
1340 710 -111870599
1497 489 264657876
1108 333 -620343858
1169 1454 148405081
211 1407 -710962592
1401 1314 924708764
872 959 880925048
572 1303 501697508
854 806 -6980812
232 891 -86039716
1068 485 725797481
97 234 -715550883
1201 1341 -335079325
1533 763 -670642326
789 973 939498851
1042 627 443671998
976 1498 -459184807
872 323 -967982600
437 1176 -46113788
1304 1408 973798367
356 729 -472308281
116 825 -205220800
365 279 -670354620
945 65 201940026
1233 853 -684674325
1180 148 32575812
694 1123 -252674685
1166 248 116062860
1194 684 -537757335
281 240 -926520121
258 595 -93146466
719 711 850493028
1413 1074 -830943761
1700 272 -757800692
1004 1504 218327314
1279 937 386477666
434 1630 -328640871
1087 1049 -46103251
315 497 735788035
719 777 -989947827
783 1034 -309350552
1575 6 503377339
1444 1417 -267315034
1592 1371 43492999
57 627 -234840884
1121 159 837182165
585 593 703234146
1171 1679 -95869750
258 247 471887876
27 965 -639606762
36 1747 543444700
639 1574 548733982
205 1271 171040281
845 1116 -259991020
10 1172 457580103
678 545 639079326
536 1130 -682917537
277 554 -761085175
1066 811 -479360725
605 837 624498475
920 872 623972305
521 1510 425914298
127 1714 -119182517
1149 812 -842261902
49 821 498875450
1322 1498 -877443146
1007 287 415259974
1284 563 -951656059
1492 1628 -24294497
201 486 933132691
1619 1405 -69322319
1291 179 -341010081
790 305 -378553254
1558 1453 550733125
1696 1502 -509657942
1259 1077 -794567341
1366 337 -466812907
855 1619 176839505
897 1365 40520146
3 1564 596116892
1691 1436 204022980
757 980 407683110
1333 23 755831264
129 1580 419507723
1483 1529 138721465
165 1041 -628947404
344 660 -244419560
810 1514 -390612541
91 664 -828611521
1000 666 962222773
647 610 606388816
1698 1366 -272141085
1181 952 -247452634
968 1080 -438728349
461 816 -688230130
1455 980 502917472
33 1323 -742728690
693 386 990091359
1225 476 -250278440
1374 1475 511867414
1341 375 -790338387
998 326 773781835
1633 1506 -136781998
544 727 -900583144
1034 1187 33111524
1306 895 -845355935
872 927 669447135
1097 1619 -889292171
1088 1096 -344734348
1743 724 -656359250
1317 318 -228049983
1500 1315 144216430
1302 1201 -131876894
310 1744 699501301
397 1031 57858744
1298 591 -918083104
1433 1462 142728354
1145 812 -4126442
1242 153 -749260036
68 149 78716053
368 1465 442024597
1042 1217 -52945588
294 772 -678335588
1052 1081 -681598039
790 1477 498538711
1713 1028 -826155468
39 715 847236893
1037 113 -224012895
160 1353 -49813473
379 1420 119556716
1321 40 -204034912
833 1081 -810926745
1660 1374 72663050
195 680 -690047523
473 1469 -999641611
35 1435 176992312
187 1473 994498311
54 763 -877676480
731 922 671175768
1561 1299 296320707
792 873 341399085
1487 1705 -421639081
1652 1619 -848577361
842 67 -71292650
1113 539 -390283646
1113 573 -747691606
395 759 938400367
390 812 -189279373
497 1542 865142731
210 1355 352406643
1341 400 -648771582
766 140 -696367348
1271 45 -843326245
1404 887 -767983859
468 253 -151938230
1001 1365 503349352
1221 13 -628276579
1167 402 300420866
129 897 65428796
11 1106 -383066264
1192 700 74492400
1498 1466 234069877
17 990 284739424
154 647 -700835911
357 1114 -412703652
1097 368 -850505409
664 1587 -837248870
988 1007 -378435722
377 1135 648257552
1307 1145 -85993277
100 590 715132496
1038 341 393033955
369 358 -473927979
1491 511 265669330
6 867 -459466767
519 217 -39619916
649 879 -222481726
791 121 930348172
1334 497 229590405
1027 57 -459612296
79 156 215146711
1576 1193 605095846
1046 1562 -986132239
1506 1306 -401863791
865 1311 589917330
1336 83 837272897
429 731 -156447740
1108 1522 -19521161
1047 1109 548473500
374 389 612965042
846 467 790887198
161 296 156732368
1562 1341 -55429569
1574 1100 -560859191
350 217 939607592
1738 1553 -966732874
1596 235 -130385996
587 1341 -388600646
1443 641 880187454
1048 1014 -675764142
711 113 -142448713
528 273 195266235
1538 88 -269585339
616 1661 989068582
1000 265 -763102670
947 256 -985565862
976 105 -717940912
1735 691 817290454
523 387 -449523591
419 1434 711207358
702 398 839871004
1450 925 -848385942
748 716 -748467633
1385 1331 -846506309
1376 584 -544365762
1583 1530 -252128663
1595 760 -132522113
95 748 658006146
1682 1270 -900065047
416 1687 741737807
164 642 -803620248
25 345 254747982
157 1092 -926425131
377 730 597430842
511 359 -734543289
908 195 -982739935
1561 43 -113891969
573 137 741614613
274 72 195179164
361 488 126989138
136 651 861280394
307 675 -744395784
1403 831 505226839
1467 1206 -659437076
1115 1716 -249318946
1347 877 -27521444
1362 691 20389569
390 1263 176473181
164 1536 258019845
1208 150 815505970
445 285 -439861088
324 591 331789674
547 246 -717927683
116 1712 662519205
413 1080 626624029
1068 680 -369978971
171 296 420581537
1062 684 -134216554
343 847 -376367103
1441 308 -205935155
1280 752 118817096
23 1076 794269402
1186 1622 -924830255
1432 1737 -964907005
1137 403 271469992
812 1470 -950242553
1362 1640 -612784576
856 955 169951954
1612 1297 -860418348
410 991 -508716320
1103 524 352047177
334 546 -416847461
154 1731 -559796022
220 1416 -571571663
251 807 -111611463
1361 1617 -429234368
1404 1232 -551961822
1742 341 540595746
1017 205 24911515
1139 614 -840994668
1568 1716 -241616834
1002 303 383183926
1512 456 365197291
150 675 -13504425
524 925 909597982
1299 538 761128543
52 195 171108287
443 190 560118751
42 1207 793943380
937 599 -503784930
1075 420 -539001334
1737 1422 -192888738
1199 1186 328822261
645 1335 -898698591
1506 112 159641699
1427 1411 775313124
1219 1461 998073131
495 157 -784862858
111 198 596457113
1677 1133 -718385305
364 462 -238106432
767 452 -610659094
1471 1650 747109250
885 548 275402579
974 307 402649227
240 1733 17237730
44 1205 -310066278
42 1698 -131224622
230 62 94358443
1624 1738 -608405564
124 356 -80511313
789 1121 436424361
1129 845 325585386
908 1730 952169053
275 957 -697329065
1500 1196 -713310986
642 1239 665351833
1244 1280 609767680
257 1509 680055307
1212 1386 670158091
1554 1508 -923708894
611 550 359453014
119 1678 -673244920
1276 839 -692980437
1234 1113 401547873
1498 866 -230018292
3 1507 -812365806
1456 1004 652578461
1116 1260 379951651
836 725 -33789121
549 532 -307029162
615 1141 322125094
56 1259 243014555
341 788 -797251530
609 275 476729418
87 26 -532393372
759 28 -807382171
923 1483 341696741
619 852 -216381255
78 1687 612742282
922 489 -779338213
1527 1103 526865947
935 1158 -32220877
274 1498 868986700
451 360 -817342270
1740 446 -788536851
402 1204 -757908032
571 380 939896021
1742 998 -85357010
680 1075 -153611823
342 250 405289675
535 30 -332361408
121 963 992887940
966 1236 707792800
852 1686 -880627265
1011 1680 -370824383
1196 335 -992816845
1407 904 -558970459
1355 899 583293236
407 1578 -186074105
1146 173 99138392
627 707 131901568
1210 827 -765659483
1204 46 649469791
949 897 580037861
1053 162 502774147
1602 1357 885285273
1608 1017 -79810930
247 625 949182276
1630 1031 755883639
594 431 953035440
1554 1057 -238700535
796 520 707541661
1000 1722 759541151
694 924 -213715363
328 230 -29570154
1640 85 -476560072
1540 1692 687406850
597 193 -597773364
553 75 582542273
339 669 -925258062
298 475 284115304
963 1270 878300965
708 524 850186861
498 1217 -92434211
1184 1544 169810486
285 1437 266096569
742 1229 203607190
469 79 423371893
821 631 508683911
456 969 -726530860
521 1267 -183134030
1642 483 -729224028
1536 1189 -130460341
1405 1686 -737373174
452 1124 -969924669
1473 1408 674659321
832 403 81664071
137 872 171278648
1380 1691 892685329
951 401 1767750
1189 921 -548438646
157 817 3365601
393 606 -635277843
1152 264 -704827831
1381 715 581000275
1408 441 192636320
1124 1272 653520233
322 1408 -348941138
1344 1041 -412521158
1251 245 45322447
379 1433 -900668385
773 1589 33621648
1649 235 726493514
222 1386 -971865928
480 1020 -153890890
114 681 350229113
1155 58 -193409346
852 379 -581199081
1421 1722 610231804
188 1226 889567219
1100 1604 530276303
1187 630 349225027
343 533 617189361
105 754 203708964
129 1232 -628589337
868 1345 150369785
301 753 215245654
1005 1604 647702340
1370 1278 619018493
1030 1465 21879439
934 818 -141947068
524 258 579100321
1701 600 -811612788
1367 704 50635757
672 832 -538981873
996 1699 -999465405
255 252 -138178516
1315 1256 -301600975
1008 879 -838673920
675 162 838081492
1567 1095 -226012291
570 1617 68376343
203 1572 754869046
368 1192 -440040669
1285 117 511781269
1687 1112 456443969
1688 1366 744176545
694 934 181569650
1304 195 -812575797
1445 869 -628027994
1303 690 624780279
233 1259 476125325
1166 1461 275232172
952 82 -360709819
1440 1366 -227991685
1014 1306 -955202762
540 1246 608026735
316 193 -323057539
1348 1496 -100753245
1511 1194 893958109
90 750 -317044037
1509 982 -875706751
1051 400 797070286
419 1351 889674288
977 1044 452741009
1651 312 -52711420
1690 850 -626148409
1348 1166 -405748471
193 767 -693112583
978 531 673085335
885 620 -469073224
1481 382 654399446
1590 1432 -888120309
1413 104 658236556
1316 1080 -146570628
839 983 209239408
1665 926 -817889367
246 527 516219595
765 718 -606864058
1033 1695 283876
747 833 709635406
1211 567 -854029191
909 410 785415410
1007 75 903201382
708 1390 138618905
1453 482 -736323706
763 400 323170784
922 645 925129112
500 1409 -253506260
843 695 -313488580
1716 1441 639140261
1463 904 -712663773
1590 66 -244607433
1403 1072 -159620434
1318 33 -568028489
566 1485 -17090588
796 501 440481847
206 1422 -821459590
140 175 791336627
792 1017 -414242082
1391 986 -765110387
1076 702 269658491
1327 545 344463997
240 200 -428814178
974 1517 -391939477
1351 337 -691482531
463 1132 -118203932
1721 1336 -489993044
131 1476 -290630276
1695 520 873020315
460 165 1242606
665 1240 803672004
27 820 -573720684
1201 1059 -345520046
1700 286 -608524701
485 1636 -224115743
754 353 -928616881
1524 327 601142671
223 456 290292026
842 404 885324921
731 863 -927247225
1605 1527 491715850
1434 1553 -570449628
60 1007 641648907
632 960 968391022
973 1443 841748227
1651 450 -755370067
1713 227 -382482013
1365 449 138952797
745 1290 600270994
645 274 -412769508
709 133 -665279095
265 1566 -887599277
640 1625 264733943
327 510 -637093610
299 1482 -985021417
161 1386 -470532010
375 1352 -211829319
914 969 301093609
162 1714 -222393501
1559 612 90729664
326 1319 241705712
618 1583 34206645
716 476 -105488220
74 802 477101068
391 1100 173449813
404 1261 -240557732
866 1635 -693538448
1555 801 415650336
944 963 377300648
1623 775 -923262592
829 1100 586713389
167 1717 398944442
1070 686 942980940
105 760 -139528211
1395 1150 -880191990
673 1553 562737831
1336 673 433891186
1604 480 -649213941
1094 1424 452375248
550 1300 -661070250
617 382 597680052
256 549 563347062
1477 1618 -651668497
1428 1722 217367316
433 1370 -466639107
537 296 -688709186
156 1632 80625069
1408 1488 629534340
1714 835 259112234
1236 1384 -253034747
1532 254 183823058
1180 509 811391362
799 239 663876810
1103 1666 635791182
420 352 204235544
886 888 542659711
1157 1043 410505949
355 704 114235808
31 670 -930500373
1131 159 653598052
37 1690 943268492
1070 1123 -474775664
905 175 -201589974
612 1277 -294193498
294 1696 107885553
1345 835 -875544812
946 245 318253239
431 599 -876829108
1404 629 -110005795
1465 13 71098425
1162 49 5413305
1113 1118 -709381106
1571 276 -509937744
522 887 952074893
1139 1180 894024121
360 779 -150729166
468 1724 129105843
1619 408 814154219
1727 65 -466049697
758 1529 -452393674
1693 945 -397912455
825 311 881217013
1078 135 -803613903
1506 657 211471602
1464 48 -437735285
1372 407 453000977
367 875 426340102
1353 747 892788039
1191 727 966580595
1657 1484 717217398
389 1430 -201703500
914 507 153086391
811 1584 306811410
982 1344 -942118420
294 1061 -887896597
785 686 -422637568
307 1052 578113853
1552 658 -567389091
1459 101 264024488
1430 11 -37651203
1183 399 -401317739
134 1313 178438184
1140 376 -7764537
535 1358 -469863650
586 1650 744215741
684 688 -471502244
1188 994 732253228
819 800 -515412000
1197 512 -400343710
554 194 -388591599
1395 1376 67450657
171 1508 -430129393
1200 902 -114740
320 1436 -446119286
783 275 -556671430
560 957 230493544
1021 398 -631623387
787 1216 283317878
1210 666 868105378
1734 1219 -910680291
522 867 664178268
1454 1037 390977554
205 490 -577196039
1078 809 -933531104
1561 1591 -620146060
202 404 475062495
1277 1424 929456994
1598 464 321151289
973 1674 -917243710
858 1661 478296483
935 435 -529879334
642 142 656911100
111 346 -782894031
480 1423 142940734
538 1237 -35448252
869 1439 426154748
411 969 56247491
350 820 587083207
1503 46 503249892
1575 902 404403837
1120 91 901953441
1530 732 -936650637
1231 841 -541537791
1420 1320 -912822761
672 111 503375165
1514 979 150384560
1013 1389 -741301033
189 1738 196694996
1575 1494 247690529
1141 1322 -720209058
621 695 -617684054
535 478 219443806
591 1707 -817847921
991 1380 693244724
1067 305 819190638
634 72 -60156240
1638 1084 -469733416
118 1272 -480083894
1162 1100 -770056385
506 494 743105402
750 1114 -462302052
1084 1648 83841920
402 492 38448418
561 1482 -381376589
293 802 -32692368
136 1435 49052826
956 1325 -709986255
1419 1442 746437878
127 857 5408432
328 1362 570175301
103 365 -154857681
573 1447 -267737072
1519 103 294886489
679 663 -8524787
1220 955 909206336
318 1090 551455025
1234 299 68605840
1487 1717 -280642252
1266 97 700405744
397 423 259440358
22 526 676252533
760 1097 333158212
1399 869 449601202
784 1548 -792266419
1649 1020 300800073
1570 1337 -452008683
1178 824 -110848931
365 564 -145454085
993 83 -35908041
732 479 447732817
85 500 -951426110
1549 1259 304313125
966 911 -701207557
486 1694 -929539739
667 1596 237939989
57 1419 -231460739
535 850 711310899
1311 1215 -643731348
312 461 -550149606
1153 1192 -2535439
671 1276 569286451
713 1077 10458383
106 297 -946756714
367 782 992527646
428 1448 819786676
1509 1504 444226713
434 292 -582697218
182 1603 807620722
493 167 -665461717
886 1319 698461206
11 243 158829850
1381 956 -608103249
517 1061 -269179884
563 1427 625201150
557 108 282773435
399 1617 4337043
1660 304 337883292
278 485 172563248
111 977 362922829
403 116 -126946008
139 125 150689554
1151 1505 -755596595
1493 275 458508669
385 837 91797790
58 1393 214731029
1178 45 65248376
309 1704 411889090
1477 236 965964071
754 345 83741968
198 747 215073177
960 885 357422257
219 289 80075659
432 35 393491767
1705 419 -649086134
913 476 944869601
227 1653 995145646
1157 215 945968716
644 1690 -785358408
614 697 -391215003
1560 894 462937212
875 108 -524440556
314 325 -194518457
1257 756 -155399742
727 715 323735706
1033 1626 868089036
985 106 760433685
981 1262 -994893304
934 159 939991360
1121 772 -262349074
1653 585 761008222
1184 1458 883117242
1599 25 -745332462
556 1281 120062514
1294 261 937810840
703 1293 799710306
588 532 920491942
379 1512 365404123
383 699 546335940
331 73 -570748536
975 1725 97892662
766 1162 -232667288
664 1014 -205006130
887 1569 -739048205
118 1116 -441301745
64 72 -960852884
1635 659 -352832022
1566 1037 -622093514
1012 1420 177331356
616 4 260084183
991 978 234949960
203 1743 -435134099
873 661 725391447
1567 1546 522008142
49 1664 -200683758
537 1727 -118948547
571 1615 635302811
1136 1434 -177495997
1466 699 -552238276
747 1314 -548932667
101 557 570071756
1180 760 565783215
1673 1631 -678681047
1433 1451 -908653494
1016 1499 995928388
1713 289 972875440
737 858 821897968
418 247 463487913
1136 1712 -736950602
1527 712 766918362
175 813 -595653731
1546 245 273225781
1167 171 140889609
1447 1603 -197668375
1527 871 -481496379
1523 838 -151896148
1500 1574 830279434
1344 245 -887801656
876 1380 -928232933
1105 1160 -113683039
902 1334 815932206
1255 1133 -904437234
620 552 -709925461
1616 253 -875141026
571 32 121924210
1024 1555 -919413507
18 1307 881897270
1616 904 -838840645
1714 33 740876749
30 1138 68811177
804 292 -403970027
643 1546 892604888
727 420 -475680859
980 289 -187508317
1089 859 -151530980
323 136 -371820462
393 152 -875501321
290 21 159324409
430 1734 196144644
204 17 -501991219
1137 820 -168164819
1658 1463 -398029885
1564 443 81639362
276 1422 411732532
985 764 -605418748
1726 1085 -451310860
528 1477 -277839952
637 20 -254726591
1649 449 -269772432
947 652 -251210409
1382 43 687276436
362 1699 361620312
888 1516 867383982
86 45 494641987
1318 1029 -631746701
1663 1007 610142128
396 1534 300894967
1026 424 322409087
1677 326 835843841
568 1272 -417924020
1222 907 -370083319
949 1268 -424604085
392 408 -688881430
276 493 -638596213
1581 64 538743247
156 1726 -308394029
1562 375 -551828505
952 1400 -67061502
360 1330 305231388
217 151 -238805189
725 1372 798837547
1275 574 249994776
31 965 716636615
303 1239 -719597576
618 1073 -646975266
215 1228 -670915202
819 1043 -242728244
1211 248 -640254344
279 607 881779905
1418 822 -946397928
337 1546 624001746
161 1074 -719744633
1253 1104 383983242
1005 1406 -197430641
1250 277 -969344301
1558 491 436495564
99 1310 -369768919
761 773 -87242783
1075 1051 606483057
971 722 -452747555
1018 1058 -682858641
690 1219 546066480
935 724 -190576279
397 1729 -581668347
1098 1232 -265805938
1124 1043 295754193
632 1141 -205381978
1183 155 678957038
233 1229 -118290259
1636 453 708107518
368 1470 -80654819
644 413 -685739724
248 1347 142847577
955 1743 121743703
1320 1093 -468648925
215 471 724694426
1346 1102 30858554
294 537 207115215
14 770 -386789934
783 659 130923008
528 1025 -186143885
1331 1669 286011132
1605 170 -172356574
857 1124 -177263760
90 697 -926141071
554 910 -388332804
314 510 872656601
1214 802 -512941772
522 815 367629289
1057 1597 -879147155
298 379 293981339
1009 1709 204156131
385 1567 397443700
1108 677 -316732233
80 767 479959985
145 1320 -478285585
679 1633 104285250
568 1100 -977709490
993 1620 -45312766
441 930 -216814838
546 1228 215891811
1676 490 172152365
981 874 -33772902
455 235 740963587
1052 314 -381894464
598 458 -870995980
1053 1136 998353464
271 1702 257012423
291 948 112096113
1124 1388 -823185400
62 187 582090891
1123 116 -858218900
400 1096 141896358
1244 1550 410080091
1018 855 769068539
1557 1451 -707279370
1670 757 592703560
1669 1027 541673930
1020 1317 -373310032
245 694 -784619040
399 754 -571400246
34 131 -439672313
158 530 814720891
1155 27 589223064
640 1044 -432898025
438 854 -771682392
694 777 94584377
338 699 -729812466
1684 1718 777417587
485 216 -429038231
673 614 434005240
1048 647 582439814
1537 804 -811582147
1375 212 -781833543
1016 851 412649212
1511 1289 -610028345
1711 236 279137802
920 573 -921498879
1156 510 -954925968
962 995 -709047349
1460 1667 -7048423
966 968 733161699
602 757 -346635879
766 385 -104544803
957 1401 869515020
444 1165 344612127
784 1129 613467151
155 302 -731216351
224 1457 -147764447
263 672 990512827
517 386 898996433
1384 1351 6286123
1151 206 872709585
1721 971 -687012291
757 181 916343559
643 623 249879110
71 1407 -458088031
1479 1561 -112973488
1714 37 -444589727
712 299 324480838
704 815 765199976
616 452 311572928
1494 1602 546039506
1383 1576 -342982435
1656 586 -137326439
1583 1228 575656706
928 1298 185938654
1401 1030 -27342793
430 997 14313486
915 1708 355981524
325 665 -711386029
120 1280 -194837598
1265 1027 -361211484
869 663 -557143567
1442 572 112821349
449 408 -481801714
79 1335 -996400631
1114 990 182491750
217 1419 -676340922
1103 586 -720663096
541 910 40038055
793 1029 -495241035
1495 547 679785754
307 1415 -562171991
694 1110 91873436
1665 1558 558265599
372 1636 86883603
375 1003 -780360581
1407 1220 843559556
1690 576 -485945711
188 1115 555604452
1095 161 -266589973
1536 1655 359043937
1257 215 -21454308
1639 908 -751067146
846 826 -967121015
460 1197 906040791
1409 1571 54356924
1601 1231 -549515406
1464 1174 108737283
167 1360 -614903481
1525 709 -431823730
419 498 -536861061
1606 7 -291226962
714 1645 747935000
931 744 -306553824
960 1203 -936495151
878 866 861710388
53 719 270554543
446 437 -386303609
1414 603 -829527165
4 381 -19078068
500 800 549802643
904 659 556900726
1523 1372 440044186
1303 556 -708893538
162 1515 668353150
218 647 -341332145
97 698 481689993
1206 1143 980979124
1742 810 -329410466
145 813 106125674
1001 1312 -979002425
608 469 -225750829
221 245 -655573847
1479 1548 -19538624
1733 1709 -284766175
1443 180 454784290
272 276 -746530302
1566 1481 561774640
1549 1476 -511563599
389 1620 418551497
1354 875 -79703797
1373 1482 456809452
302 1702 736864285
603 1434 508395700
1459 1420 464849874
337 1116 669731655
1607 1387 984751430
83 1206 680463743
1446 1008 370564983
127 1395 225527987
1365 1003 -773725316
422 628 922607717
1694 930 871427815
1464 1532 512779162
1035 1244 137768221
568 1580 -585251859
280 1441 -997613224
267 1522 382374120
1734 1222 -464310704
1184 1347 -867078163
508 965 280197417
705 1387 998513613
638 1334 62119593
526 1051 -184558489
100 340 -761059260
1094 907 -952148895
1456 1186 696956896
1458 1451 439727810
919 1438 -162061511
1386 875 -619974670
1502 1382 484539830
874 340 71778194
873 977 -401450127
54 1502 801719152
766 1601 -810318269
974 948 227287482
1016 656 -415731940
752 367 -754625104
262 1285 891071732
994 924 -108076449
1326 679 -526541659
876 1552 -138049215
65 678 980008601
588 730 699059603
415 1495 531882954
580 722 -383753124
1652 1737 366899508
416 742 786227629
630 1003 256605356
535 250 -686278013
1314 1575 90499356
1727 704 -132865114
733 768 642142184
716 1355 -522359152
453 23 -810927614
45 602 15377537
583 507 4407408
30 922 853118891
1589 1551 1239799
940 339 286708620
1214 1651 89550683
420 1631 894305818
1177 618 -227247780
865 1332 -676560240
1282 39 -651912408
1447 82 36377444
587 664 615596799
1464 693 -329986281
1336 535 -554996904
464 1474 -168363337
1587 941 -278162030
792 1361 -410934641
700 791 295269611
1375 1655 -179540670
1657 1189 -136305883
215 889 -43143073
1120 1475 716194635
784 1192 -491393251
1369 781 120320899
12 1244 -192057558
738 1084 885193361
1368 130 442573016
136 829 -652783710
1267 457 -758734632
237 367 602361098
991 581 -380424135
80 1699 -691712792
1579 736 672902533
277 359 -433459267
1255 369 990441606
214 1106 231313774
114 726 378707918
1373 861 -673070140
1676 381 -151268185
141 617 267553545
1540 1607 931482640
335 1687 876896547
604 1518 -280607938
318 48 128982903
813 1302 550672170
804 1515 -183903478
133 1627 647093929
1337 1253 -367270249
1622 1183 68273596
617 1323 774184798
1724 1115 614157471
1664 1449 545048543
1557 306 283052648
439 623 336776534
1424 1435 -173458897
1032 492 -439711207
1744 625 -576787032
1436 215 857886640
243 90 211526102
1175 706 -274603278
978 683 -998140404
641 600 660490590
244 410 -990423087
1364 848 -277978904
785 525 -635636128
1507 1556 -72953152
250 1554 641383794
619 1243 886082633
495 1485 988073221
1553 913 -203912627
440 144 577678633
442 785 -735670356
146 1028 -267063051
154 645 702892611
784 1429 -696820465
1102 1189 -915530112
166 1438 862860193
1599 311 285444378
1499 805 -15047804
1489 611 -970342760
438 1051 -806255691
69 1492 91370874
300 1636 -732414520
940 43 5440772
680 827 -358286711
945 182 -997055871
1019 347 649422087
899 198 -995639869
275 1696 -74355102
1135 1438 624802491
1161 129 -172770367
1330 197 -465214082
537 496 -592038065
770 1434 -543665401
1648 368 401925003
462 1311 609097021
465 583 -995102502
159 1481 -769289771
163 9 -827382155
971 1143 818693567
643 557 965024769
1365 140 -810709916
86 676 -244180846
442 1446 -602451071
841 1347 -182627981
319 62 -681532040
1723 526 -14693360
1728 684 -319251751
183 846 -309762833
334 69 998725588
176 712 -364129247
145 330 -204583031
310 415 568735109
970 857 223410654
1317 1697 -235115621
285 268 -165130432
563 245 436310353
1423 226 -781371178
271 408 186185102
874 741 264624094
873 915 -921251714
1428 1059 -544212687
376 1368 -69472909
1746 591 910929554
1068 162 853329300
1735 445 -840348665
718 1007 -561007322
226 683 -303749174
417 953 162136006
1453 80 -990733934
811 952 56334570
879 632 -731633712
1277 1008 834651303
344 1006 -488991233
266 327 -305012390
138 316 203959848
277 1033 -643606556
660 1258 137595035
1268 1674 -771687128
537 1380 -681215881
545 443 407734364
1467 1322 -868965637
1701 852 284101078
1557 1195 -564330376
257 1460 -190849349
864 1596 169428537
169 127 -648627147
480 786 791293948
1473 307 707820647
1672 843 287138050
205 1387 793870252
1434 1107 306765539
1548 1061 -718388776
923 872 648934396
1303 1128 319664609
264 245 147131164
